yemeni_textual_number,numerical_value
ميه,100
مائه,100
مائة,100
ميتين,200
مائتين,200
مئتين,200
ثلاثميه,300
ثلاث ميه,300
ثلاثمائه,300
ثلاث مائه,300
اربعميه,400
اربع ميه,400
اربعمائه,400
اربع مائه,400
خمسميه,500
خمس ميه,500
خمسمائه,500
خمس مائه,500
ستميه,600
ست ميه,600
ستمائه,600
ست مائه,600
سبعميه,700
سبع ميه,700
سبعمائه,700
سبع مائه,700
ثمانميه,800
ثمان ميه,800
ثمانمائه,800
ثمان مائه,800
تسعميه,900
تسع ميه,900
تسعمائه,900
تسع مائه,900
الف,1000
الف وميه,1100
الف ومائه,1100
الف ومائة,1100
الف وميتين,1200
الف ومائتين,1200
الف ومئتين,1200
الف وثلاثميه,1300
الف وثلاث ميه,1300
الف وثلاثمائه,1300
الف وثلاث مائه,1300
الف واربعميه,1400
الف واربع ميه,1400
الف واربعمائه,1400
الف واربع مائه,1400
الف وخمسميه,1500
الف وخمس ميه,1500
الف وخمسمائه,1500
الف وخمس مائه,1500
الف وخمس,1500
الف ونص,1500
الف وستميه,1600
الف وست ميه,1600
الف وستمائه,1600
الف وست مائه,1600
الف وسبعميه,1700
الف وسبع ميه,1700
الف وسبعمائه,1700
الف وسبع مائه,1700
الف وثمانميه,1800
الف وثمان ميه,1800
الف وثمانمائه,1800
الف وثمان مائه,1800
الف وتسعميه,1900
الف وتسع ميه,1900
الف وتسعمائه,1900
الف وتسع مائه,1900
الفين,2000
الفين وميه,2100
الفين ومائه,2100
الفين ومائة,2100
الفين وميتين,2200
الفين ومائتين,2200
الفين ومئتين,2200
الفين وثلاثميه,2300
الفين وثلاث ميه,2300
الفين وثلاثمائه,2300
الفين وثلاث مائه,2300
الفين واربعميه,2400
الفين واربع ميه,2400
الفين واربعمائه,2400
الفين واربع مائه,2400
الفين وخمسميه,2500
الفين وخمس ميه,2500
الفين وخمسمائه,2500
الفين وخمس مائه,2500
الفين وخمس,2500
الفين ونص,2500
الفين وستميه,2600
الفين وست ميه,2600
الفين وستمائه,2600
الفين وست مائه,2600
الفين وسبعميه,2700
الفين وسبع ميه,2700
الفين وسبعمائه,2700
الفين وسبع مائه,2700
الفين وثمانميه,2800
الفين وثمان ميه,2800
الفين وثمانمائه,2800
الفين وثمان مائه,2800
الفين وتسعميه,2900
الفين وتسع ميه,2900
الفين وتسعمائه,2900
الفين وتسع مائه,2900
ثلاثه الف,3000
ثلاث الاف,3000
ثلاثه الف وميه,3100
ثلاث الاف وميه,3100
ثلاثه الف ومائه,3100
ثلاث الاف ومائه,3100
ثلاثه الف ومائة,3100
ثلاث الاف ومائة,3100
ثلاثه الف وميتين,3200
ثلاث الاف وميتين,3200
ثلاثه الف ومائتين,3200
ثلاث الاف ومائتين,3200
ثلاثه الف ومئتين,3200
ثلاث الاف ومئتين,3200
ثلاثه الف وثلاثميه,3300
ثلاث الاف وثلاثميه,3300
ثلاثه الف وثلاثمائه,3300
ثلاث الاف وثلاثمائه,3300
ثلاثه الف واربعميه,3400
ثلاث الاف واربعميه,3400
ثلاثه الف واربعمائه,3400
ثلاث الاف واربعمائه,3400
ثلاثه الف وخمسميه,3500
ثلاث الاف وخمسميه,3500
ثلاثه الف وخمسمائه,3500
ثلاث الاف وخمسمائه,3500
ثلاثه الف وخمس,3500
ثلاث الاف وخمس,3500
ثلاثه الف ونص,3500
ثلاث الاف ونص,3500
ثلاثه الف وستميه,3600
ثلاث الاف وستميه,3600
ثلاثه الف وستمائه,3600
ثلاث الاف وستمائه,3600
ثلاثه الف وسبعميه,3700
ثلاث الاف وسبعميه,3700
ثلاثه الف وسبعمائه,3700
ثلاث الاف وسبعمائه,3700
ثلاثه الف وثمانميه,3800
ثلاث الاف وثمانميه,3800
ثلاثه الف وثمانمائه,3800
ثلاث الاف وثمانمائه,3800
ثلاثه الف وتسعميه,3900
ثلاث الاف وتسعميه,3900
ثلاثه الف وتسعمائه,3900
ثلاث الاف وتسعمائه,3900
اربعه الف,4000
اربع الاف,4000
خمسه الف,5000
خمس الاف,5000
سته الف,6000
ست الاف,6000
سبعه الف,7000
سبع الاف,7000
ثمانيه الف,8000
ثمن الاف,8000
تسعه الف,9000
تسع الاف,9000
الف ونص,1500
الف وخمس,1500
الفين ونص,2500
الفين وخمس,2500
ثلاثه الف ونص,3500
ثلاث الاف ونص,3500
ثلاثه الف وخمس,3500
ثلاث الاف وخمس,3500
اربعه الف ونص,4500
اربع الاف ونص,4500
اربعه الف وخمس,4500
اربع الاف وخمس,4500
خمسه الف ونص,5500
خمس الاف ونص,5500
خمسه الف وخمس,5500
خمس الاف وخمس,5500
سته الف ونص,6500
ست الاف ونص,6500
سته الف وخمس,6500
ست الاف وخمس,6500
سبعه الف ونص,7500
سبع الاف ونص,7500
سبعه الف وخمس,7500
سبع الاف وخمس,7500
ثمانيه الف ونص,8500
ثمن الاف ونص,8500
ثمانيه الف وخمس,8500
ثمن الاف وخمس,8500
تسعه الف ونص,9500
تسع الاف ونص,9500
تسعه الف وخمس,9500
تسع الاف وخمس,9500
الف وميه,1100
الف ومائه,1100
الف وميتين,1200
الف ومائتين,1200
الف وثلاثميه,1300
الف وثلاثمائه,1300
الف واربعميه,1400
الف واربعمائه,1400
الف وخمسميه,1500
الف وخمسمائه,1500
الف وستميه,1600
الف وستمائه,1600
الف وسبعميه,1700
الف وسبعمائه,1700
الف وثمانميه,1800
الف وثمانمائه,1800
الف وتسعميه,1900
الف وتسعمائه,1900
الفين وميه,2100
الفين ومائه,2100
الفين وميتين,2200
الفين ومائتين,2200
الفين وثلاثميه,2300
الفين وثلاثمائه,2300
الفين واربعميه,2400
الفين واربعمائه,2400
الفين وخمسميه,2500
الفين وخمسمائه,2500
الفين وستميه,2600
الفين وستمائه,2600
الفين وسبعميه,2700
الفين وسبعمائه,2700
الفين وثمانميه,2800
الفين وثمانمائه,2800
الفين وتسعميه,2900
الفين وتسعمائه,2900
ثلاثه الف وميه,3100
ثلاث الاف وميه,3100
ثلاثه الف ومائه,3100
ثلاث الاف ومائه,3100
ثلاثه الف وميتين,3200
ثلاث الاف وميتين,3200
ثلاثه الف ومائتين,3200
ثلاث الاف ومائتين,3200
ثلاثه الف وثلاثميه,3300
ثلاث الاف وثلاثميه,3300
ثلاثه الف وثلاثمائه,3300
ثلاث الاف وثلاثمائه,3300
ثلاثه الف واربعميه,3400
ثلاث الاف واربعميه,3400
ثلاثه الف واربعمائه,3400
ثلاث الاف واربعمائه,3400
ثلاثه الف وخمسميه,3500
ثلاث الاف وخمسميه,3500
ثلاثه الف وخمسمائه,3500
ثلاث الاف وخمسمائه,3500
ثلاثه الف وستميه,3600
ثلاث الاف وستميه,3600
ثلاثه الف وستمائه,3600
ثلاث الاف وستمائه,3600
ثلاثه الف وسبعميه,3700
ثلاث الاف وسبعميه,3700
ثلاثه الف وسبعمائه,3700
ثلاث الاف وسبعمائه,3700
ثلاثه الف وثمانميه,3800
ثلاث الاف وثمانميه,3800
ثلاثه الف وثمانمائه,3800
ثلاث الاف وثمانمائه,3800
ثلاثه الف وتسعميه,3900
ثلاث الاف وتسعميه,3900
ثلاثه الف وتسعمائه,3900
ثلاث الاف وتسعمائه,3900
اربعه الف,4000
اربع الاف,4000
اربعه الف وميه,4100
اربع الاف وميه,4100
اربعه الف ومائه,4100
